ingredient_count,total_weight_grams,has_milk,has_sugar,has_rice,has_dal,has_paneer,has_ghee,has_butter,has_cream,has_oil,has_onion,has_tomato,has_potato,has_chicken,has_vegetables,dairy_grams,grain_grams,protein_source_grams,fat_source_grams,vegetable_grams,spice_grams,rich_ingredient_count,recipe_code,calories,protein,carbs,fats,sodium
9,488.875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,7.5,427.0,0.0,0.0,1.875,0,ASC087,28.32048225402832,14.47509765625,1.632999062538147,12.593029975891113,12205.3349609375
12,463.125,0,0,0,0,0,0,1,0,0,1,1,0,0,1,15.0,0.0,0.0,5.0,410.0,8.125,1,ASC088,42.65936279296875,9.303705215454102,3.7148396968841553,11.087420463562012,8875.064453125
10,319.375,0,0,0,0,0,0,1,0,0,1,1,0,1,0,5.0,0.0,265.0,5.0,45.0,6.875,1,ASC089,26.63651466369629,12.929913520812988,1.1007238626480103,13.516396522521973,12418.84375
12,933.7950000000001,0,0,0,0,0,0,1,0,1,1,1,0,1,0,5.0,10.0,252.5,485.0,140.0,8.125,1,ASC090,484.30548095703125,5.210831642150879,1.4290056228637695,56.57162094116211,4249.40625
8,362.9,0,0,0,0,0,0,1,0,0,1,0,0,1,0,25.0,15.0,240.0,15.0,80.0,17.5,1,ASC091,55.60973358154297,11.40778636932373,4.2752203941345215,14.39195728302002,11202.8876953125
18,400.5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.0,5.0,52.5,10.0,60.0,12.5,0,ASC092,31.513946533203125,3.1162946224212646,1.7757666110992432,1.312411904335022,163.25599670410156
19,375.675,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,5.0,12.5,15.0,315.0,12.5,0,ASC093,35.62731170654297,10.122030258178711,4.171391487121582,12.784790992736816,11088.1376953125
10,374.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,140.0,0.0,0.0,0.0,30.0,2.5,0,ASC094,48.02956771850586,2.9876434803009033,4.580854415893555,1.990923285484314,121.3151626586914
11,306.5,0,0,0,0,0,0,1,1,0,1,0,1,0,1,22.0,0.0,0.0,12.0,240.0,14.5,2,ASC095,49.18648147583008,8.571334838867188,2.645667791366577,14.081335067749023,9919.625
3,145.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.0,80.0,0.0,5.0,0.0,0.0,2,ASC096,202.3111114501953,5.875,35.64999771118164,3.5611112117767334,1.1611111164093018
4,170.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,80.0,0.0,30.0,0.0,0.65,0,ASC097,298.30084228515625,5.055602073669434,30.69233512878418,16.858184814453125,62.06623840332031
12,286.23,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,80.0,0.0,30.0,105.0,4.15,0,ASC098,205.04238891601562,3.6979143619537354,23.920074462890625,10.220277786254883,127.203125
12,306.23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,80.0,0.0,30.0,25.0,4.15,0,ASC099,183.52423095703125,3.297506809234619,20.542415618896484,9.527800559997559,127.02696990966797
13,312.48,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,80.0,0.0,30.0,125.0,5.4,0,ASC100,178.07040405273438,3.726067066192627,18.837081909179688,9.46512508392334,190.0313262939453
12,236.23,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.0,80.0,30.0,30.0,25.0,4.15,0,ASC101,268.2444763183594,6.775821685791016,30.032482147216797,13.053577423095703,156.13204956054688
12,236.23,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,80.0,0.0,60.0,55.0,34.15,0,ASC102,228.59439086914062,4.292011260986328,24.306026458740234,12.426431655883789,153.9376983642578
12,331.23,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,80.0,0.0,30.0,150.0,4.15,0,ASC103,190.73114013671875,5.594754695892334,21.512731552124023,8.798940658569336,109.99115753173828
12,306.23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,80.0,0.0,30.0,25.0,4.15,0,ASC104,238.086181640625,9.405674934387207,18.35640525817871,13.909818649291992,140.62289428710938
12,261.23,0,0,0,0,1,0,0,0,1,1,0,0,0,0,60.0,80.0,60.0,30.0,20.0,4.15,1,ASC105,262.9658203125,7.984040260314941,24.326213836669922,14.621496200561523,142.5160675048828
9,252.07999999999998,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,80.0,0.0,30.0,75.0,2.5,0,ASC106,216.49209594726562,5.544742584228516,21.389270782470703,12.086648941040039,177.18804931640625
5,626.25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5.0,80.0,0.0,485.0,0.0,1.25,2,ASC107,737.6346435546875,1.354683756828308,8.220335960388184,77.60576629638672,31.732906341552734
7,677.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5.0,80.0,0.0,485.0,50.0,1.25,2,ASC108,684.25439453125,1.4218518733978271,7.757184982299805,71.85770416259766,35.473628997802734
7,652.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5.0,80.0,0.0,485.0,0.0,1.25,2,ASC109,710.0203247070312,1.4534616470336914,7.981307506561279,74.6041488647461,35.37300109863281
10,597.92,0,0,0,1,0,1,1,0,1,0,0,0,0,0,5.0,80.0,15.0,485.0,0.0,3.75,2,ASC110,785.162841796875,2.0753488540649414,10.137200355529785,81.68533325195312,128.17950439453125
7,600.0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,5.0,80.0,0.0,485.0,30.0,3.75,2,ASC111,776.7381591796875,1.5213927030563354,9.400838851928711,81.35301971435547,69.86409759521484
3,170.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30.0,80.0,0.0,30.0,0.0,0.0,2,ASC112,295.37005615234375,5.079640865325928,30.7401180267334,16.512575149536133,1.138922095298767
2,300.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,100.0,0.0,100.0,0.0,0.0,0,ASC113,117.18966674804688,2.6033332347869873,25.720001220703125,0.18333333730697632,1.0533334016799927
10,315.4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,80.0,0.0,95.0,50.0,5.0,0,ASC114,140.20791625976562,2.338649034500122,21.81610870361328,4.622068881988525,193.76136779785156
13,446.65,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,80.0,0.0,95.0,180.0,6.25,0,ASC115,113.0494384765625,2.722787380218506,17.489917755126953,3.327634572982788,187.91976928710938
11,366.65,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,80.0,0.0,95.0,50.0,6.25,0,ASC116,124.28645324707031,2.5225167274475098,19.018360137939453,4.029394626617432,222.36363220214844
12,415.4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,80.0,0.0,145.0,150.0,55.0,0,ASC117,112.97147369384766,2.1882078647613525,17.491247177124023,3.607832670211792,153.16407775878906
12,845.4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,50.0,80.0,50.0,575.0,50.0,5.0,1,ASC118,581.9120483398438,1.9848072528839111,8.757226943969727,59.809207916259766,72.27726745605469
11,365.4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,80.0,0.0,95.0,50.0,5.0,0,ASC119,193.2752685546875,5.3159260749816895,21.180999755859375,9.512810707092285,168.39794921875
14,383.7,0,0,1,0,1,0,0,0,1,1,0,0,0,1,25.0,150.0,25.0,180.0,150.0,10.0,1,ASC120,261.707763671875,6.198443412780762,36.979042053222656,9.453126907348633,334.2568664550781
11,365.4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,80.0,0.0,95.0,100.0,5.0,0,ASC121,173.42837524414062,4.875859260559082,27.569656372070312,4.820158958435059,170.04505920410156
20,432.755,1,0,1,0,0,0,0,0,1,1,1,0,0,0,30.0,100.0,0.0,120.0,150.0,14.375,0,ASC122,190.76315307617188,7.376446723937988,22.495088577270508,7.724486827850342,262.6424255371094
23,621.505,1,0,1,0,0,0,0,0,1,1,1,1,0,1,30.0,100.0,0.0,160.0,400.0,14.375,0,ASC123,174.60516357421875,3.1605417728424072,18.557273864746094,9.507964134216309,183.7902069091797
9,326.65999999999997,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,80.0,0.0,95.0,0.0,5.0,0,ASC124,176.30288696289062,4.256220817565918,21.622270584106445,7.8798065185546875,187.10906982421875
11,351.515,1,1,1,1,0,1,1,0,1,0,0,0,0,0,22.5,80.0,2.8,95.0,0.0,0.0,2,ASC125,215.41348266601562,2.095991611480713,42.59217071533203,4.565640926361084,3.1987802982330322
12,219.535,1,0,1,0,0,0,0,0,1,0,0,0,0,0,121.25,80.0,0.0,85.0,0.0,2.5,0,ASC126,195.73703002929688,5.753233909606934,32.93044662475586,4.316627025604248,213.29034423828125
